"","census_tract","Arsenic.Number_abovelimit_EPA","Arsenic.Number_abovelimit_NCGW","Arsenic.Number_at_or_below_LOD","Arsenic.Mean_avg","Arsenic.Med","Arsenic.Minimum","Arsenic.Maximum","Arsenic.Std","Arsenic.IQRange","Arsenic.Number_non_missing","Arsenic.Number_above_LOD","Arsenic.%_above_LOD","Arsenic.%_abovelimit_EPA","Arsenic.%_abovelimit_NCGW","Cadmium.Number_abovelimit_EPA","Cadmium.Number_abovelimit_NCGW","Cadmium.Number_at_or_below_LOD","Cadmium.Mean_avg","Cadmium.Med","Cadmium.Minimum","Cadmium.Maximum","Cadmium.Std","Cadmium.IQRange","Cadmium.Number_non_missing","Cadmium.Number_above_LOD","Cadmium.%_above_LOD","Cadmium.%_abovelimit_EPA","Cadmium.%_abovelimit_NCGW","Calcium.Number_at_or_below_LOD","Calcium.Mean_avg","Calcium.Med","Calcium.Minimum","Calcium.Maximum","Calcium.Std","Calcium.IQRange","Calcium.Number_non_missing","Calcium.Number_above_LOD","Calcium.%_above_LOD","Iron.Number_abovelimit_EPA","Iron.Number_abovelimit_NCGW","Iron.Number_at_or_below_LOD","Iron.Mean_avg","Iron.Med","Iron.Minimum","Iron.Maximum","Iron.Std","Iron.IQRange","Iron.Number_non_missing","Iron.Number_above_LOD","Iron.%_above_LOD","Iron.%_abovelimit_EPA","Iron.%_abovelimit_NCGW","Lead.Number_abovelimit_EPA","Lead.Number_abovelimit_NCGW","Lead.Number_at_or_below_LOD","Lead.Mean_avg","Lead.Med","Lead.Minimum","Lead.Maximum","Lead.Std","Lead.IQRange","Lead.Number_non_missing","Lead.Number_above_LOD","Lead.%_above_LOD","Lead.%_abovelimit_EPA","Lead.%_abovelimit_NCGW","Magnesium.Number_at_or_below_LOD","Magnesium.Mean_avg","Magnesium.Med","Magnesium.Minimum","Magnesium.Maximum","Magnesium.Std","Magnesium.IQRange","Magnesium.Number_non_missing","Magnesium.Number_above_LOD","Magnesium.%_above_LOD","Manganese.Number_abovelimit_EPA","Manganese.Number_abovelimit_NCGW","Manganese.Number_at_or_below_LOD","Manganese.Mean_avg","Manganese.Med","Manganese.Minimum","Manganese.Maximum","Manganese.Std","Manganese.IQRange","Manganese.Number_non_missing","Manganese.Number_above_LOD","Manganese.%_above_LOD","Manganese.%_abovelimit_EPA","Manganese.%_abovelimit_NCGW","Sodium.Number_at_or_below_LOD","Sodium.Mean_avg","Sodium.Med","Sodium.Minimum","Sodium.Maximum","Sodium.Std","Sodium.IQRange","Sodium.Number_non_missing","Sodium.Number_above_LOD","Sodium.%_above_LOD","Chromium.Number_abovelimit_EPA","Chromium.Number_abovelimit_NCGW","Chromium.Number_at_or_below_LOD","Chromium.Mean_avg","Chromium.Med","Chromium.Minimum","Chromium.Maximum","Chromium.Std","Chromium.IQRange","Chromium.Number_non_missing","Chromium.Number_above_LOD","Chromium.%_above_LOD","Chromium.%_abovelimit_EPA","Chromium.%_abovelimit_NCGW","Copper.Number_abovelimit_EPA","Copper.Number_abovelimit_NCGW","Copper.Number_at_or_below_LOD","Copper.Mean_avg","Copper.Med","Copper.Minimum","Copper.Maximum","Copper.Std","Copper.IQRange","Copper.Number_non_missing","Copper.Number_above_LOD","Copper.%_above_LOD","Copper.%_abovelimit_EPA","Copper.%_abovelimit_NCGW","Zinc.Number_abovelimit_EPA","Zinc.Number_abovelimit_NCGW","Zinc.Number_at_or_below_LOD","Zinc.Mean_avg","Zinc.Med","Zinc.Minimum","Zinc.Maximum","Zinc.Std","Zinc.IQRange","Zinc.Number_non_missing","Zinc.Number_above_LOD","Zinc.%_above_LOD","Zinc.%_abovelimit_EPA","Zinc.%_abovelimit_NCGW","Chloride.Number_at_or_below_LOD","Chloride.Mean_avg","Chloride.Med","Chloride.Minimum","Chloride.Maximum","Chloride.Std","Chloride.IQRange","Chloride.Number_non_missing","Chloride.Number_above_LOD","Chloride.%_above_LOD","Sulfate.Number_at_or_below_LOD","Sulfate.Mean_avg","Sulfate.Med","Sulfate.Minimum","Sulfate.Maximum","Sulfate.Std","Sulfate.IQRange","Sulfate.Number_non_missing","Sulfate.Number_above_LOD","Sulfate.%_above_LOD","TotalHardness.Number_at_or_below_LOD","TotalHardness.Mean_avg","TotalHardness.Med","TotalHardness.Minimum","TotalHardness.Maximum","TotalHardness.Std","TotalHardness.IQRange","TotalHardness.Number_non_missing","TotalHardness.Number_above_LOD","TotalHardness.%_above_LOD","TotalAlkalinity.Number_at_or_below_LOD","TotalAlkalinity.Mean_avg","TotalAlkalinity.Med","TotalAlkalinity.Minimum","TotalAlkalinity.Maximum","TotalAlkalinity.Std","TotalAlkalinity.IQRange","TotalAlkalinity.Number_non_missing","TotalAlkalinity.Number_above_LOD","TotalAlkalinity.%_above_LOD","Nitrate.Number_abovelimit_EPA","Nitrate.Number_abovelimit_NCGW","Nitrate.Number_at_or_below_LOD","Nitrate.Mean_avg","Nitrate.Med","Nitrate.Minimum","Nitrate.Maximum","Nitrate.Std","Nitrate.IQRange","Nitrate.Number_non_missing","Nitrate.Number_above_LOD","Nitrate.%_above_LOD","Nitrate.%_abovelimit_EPA","Nitrate.%_abovelimit_NCGW","Nitrite.Number_abovelimit_EPA","Nitrite.Number_abovelimit_NCGW","Nitrite.Number_at_or_below_LOD","Nitrite.Mean_avg","Nitrite.Med","Nitrite.Minimum","Nitrite.Maximum","Nitrite.Std","Nitrite.IQRange","Nitrite.Number_non_missing","Nitrite.Number_above_LOD","Nitrite.%_above_LOD","Nitrite.%_abovelimit_EPA","Nitrite.%_abovelimit_NCGW"
"20","37051000600",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"21","37051000701",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"22","37051001000",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"23","37051001903",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"24","37051002002",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"25","37051002100",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"26","37051003203",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"27","37051003304",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"28","37051003309",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"29","37051003311",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"30","37051003312",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"31","37051003401",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"32","37051003402",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"33","37051003403",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"34","37051003404",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"35","37051003405",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"36","37051003407",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"37","37051003408",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
"38","37051980200",0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,NA,NA,NA,NA,NA,NA,0,0,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99,0,0,0,NA,NA,NA,NA,NA,NA,0,0,-99,-99,-99
